2070	90 740 220 55 1 741 500 705
2071	90 740 220 55 1 741 500 705
2072	90 740 220 55 1 741 500 705
2073	236 2 861
2074	236 2 861
2077	520 233 220 240 2 617
2084	140 15 1 31 692
2085	740 388 220 4 60 920
2087	390 415 2 550
2088	520 33 705
2093	740 48 2 817
2094	740 48 2 817
2095	740 48 2 817
2096	740 48 2 817
2097	740 48 2 817
2098	740 48 2 817
2099	740 48 2 817
2100	740 48 2 817
2101	740 48 2 817
2102	740 48 2 817
2112	880
2117	0 0 32 0
2125	90 740 220 55 1 741 500 705
2126	740 482 2 820
2134	317 590 111
2135	233 226 32 60 220 575
2136	100 31 2 861
2149	156 31 240
2153	831 413 840 91
2155	740 5
2158	741 32 0 31 46
2159	35 171
2161	742 406 0 740 482 235 1 480
2162	740 142 480
2176	679 740 575 17 798
2177	390 4
2178	520 33 705 220 415 2 861
2179	151 176 2 861
2180	740 840 416 240 741 500 91
2181	527 550 235
2182	740 760 240 0 740 952 740
2183	527 388
2184	400 703 617
2185	565 740 235
2188	506 2 817
2189	407 845 233 806
2191	390 3
2192	740 440 741 60 920
2193	740 32 845 240 2 269 892 810 33
2194	740 798 235
2195	220 455 125 31
2196	679 60 550
2197	90 740 101 908 545
2199	161 924 146
2200	740 831 820 705
2204	617 142 2 817
2205	407 3
2206	153 803 595
2209	158 32
2210	400 740 760 435 690
2212	817 740 194 0 740 760 1 741 390 32
2213	368 1 550 0 740 543 350 2 820
2215	740 821
2218	155 806 467 1 692
2219	740 100 176 741 617
2220	621 390 844 2 820
2221	368 501 706 0 821 1 480 850 595 391
2222	401 698
2223	154 806 468
2224	740 760 70 255 832 240 2 595 504 803
2225	740 760 440 90 853 16
2226	390 600 617 2 190 125 632 32
2227	740 752 1 595 204 920
2228	390 3 2 861
2229	740 760 72 921 32 2 820
2230	64 840 140 740 176
2231	125 435 255 2 286 220 31 12 31 455 33 590
2232	740 604 142 2 518
2233	400 892 81 518 1 31 250
2234	740 900 790 220 415 798 806
2235	35 171
2236	520 382 32 2 820 1 440 12
2240	90 740 222 231 2 861 683
2241	390 844
2242	740 191
2243	527 555 2 817
2244	400 390 844
2246	740 630
2248	400 804 233
2249	740 42 741 60 920
2250	400 130 746
2251	740 760 605 2 861
2252	617 142
2253	527 550
2254	151 240 235 741 892
2255	215 31 480 140 632 705 2 93 33
2256	740 760 519 240 2 861
2259	740 176
2261	740 42 2 820
2262	520 233
2263	740 176 2 817
2264	161 803
2265	520 220 240 741 440
2266	740 798 235
2267	32 29
2268	621 520 220 2 817
2270	740 773 233 803 2 320 705 125
2271	405 371 31
2272	740 760 17 503 368 817
2273	151 97
2275	740 752 615 503
2276	740 615 495 240 2 861
2277	740 760 440 240 220 2 861
2278	64 31 400 521 2 820
2280	427 3 1 165 309
2282	740 636 240 66 556
2283	90 740 100 415 240 2 817
2285	740 923 240 235 60 820
2288	400 158 3
2290	740 760 268 2 840 32
2291	390 844 741 31 371
2292	740 803 220 32 220 2 820
2293	740 455 240 235 60 820
2294	400 527 555 233 235
2296	740 760 49 2 817
2297	740 400 142 61 2 798 435 255 705
